Subject,RT,condition,template_duration
15,0.707,1,0.767
15,0.603,1,0.536
15,0.553,1,0.261
15,0.597,1,0.542
15,0.675,1,0.778
15,0.527,1,0.501
15,0.753,1,0.507
15,0.543,1,0.532
15,0.637,1,0.389
15,0.482,1,0.699
15,0.576,1,0.707
15,0.585,1,0.721
15,0.606,1,0.751
15,0.576,1,0.651
15,0.562,1,0.375
15,0.644,1,0.682
15,0.577,1,0.412
15,0.551,1,0.78
15,0.61,1,0.479
15,0.618,1,0.365
15,0.687,1,0.726
15,0.399,-1,0.256
15,0.629,-1,0.651
15,0.64,-1,0.586
15,0.712,-1,0.435
15,0.573,-1,0.239
15,0.551,-1,0.763
15,0.626,-1,0.792
15,0.637,-1,0.379
15,0.556,-1,0.778
15,0.584,-1,0.616
15,0.584,-1,0.777
15,0.707,-1,0.631
15,0.663,-1,0.261
15,0.553,-1,0.621
15,0.592,-1,0.724
15,0.621,-1,0.67
15,0.772,-1,0.473
15,0.489,-1,0.207
15,0.467,-1,0.231
15,0.638,-1,0.447
15,0.633,-1,0.326
15,0.548,-1,0.223
15,0.463,-1,0.566
15,0.595,-1,0.241
15,0.727,-1,0.479
15,0.503,-1,0.675
15,0.666,-1,0.406
15,0.546,-1,0.278
15,0.451,-1,0.417
16,0.6,1,0.258
16,0.588,1,0.497
16,0.702,1,0.655
16,0.627,1,0.46
16,0.639,1,0.749
16,0.559,1,0.708
16,0.705,1,0.587
16,0.651,1,0.477
16,0.61,1,0.771
16,0.603,1,0.323
16,0.536,1,0.555
16,0.502,1,0.29
16,0.586,1,0.584
16,0.571,1,0.799
16,0.606,1,0.584
16,0.519,1,0.676
16,0.569,1,0.424
16,0.536,1,0.46
16,0.496,1,0.701
16,0.543,1,0.653
16,0.478,1,0.212
16,0.478,1,0.4
16,0.47,1,0.297
16,0.507,1,0.34
16,0.513,1,0.606
16,0.53,1,0.586
16,0.596,1,0.581
16,0.572,1,0.271
16,0.635,-1,0.484
16,0.629,-1,0.522
16,0.701,-1,0.578
16,0.622,-1,0.407
16,0.593,-1,0.796
16,0.558,-1,0.227
16,0.68,-1,0.773
16,0.574,-1,0.555
16,0.647,-1,0.303
16,0.619,-1,0.752
16,0.589,-1,0.28
16,0.555,-1,0.31
16,0.555,-1,0.771
16,0.645,-1,0.429
16,0.627,-1,0.435
16,0.629,-1,0.645
16,0.6,-1,0.653
16,0.605,-1,0.236
16,0.567,-1,0.284
16,0.839,-1,0.57
16,0.593,-1,0.625
16,0.543,-1,0.64
16,0.583,-1,0.758
16,0.619,-1,0.793
16,0.627,-1,0.266
16,0.597,-1,0.51
16,0.675,-1,0.638
16,0.6,-1,0.593
16,0.728,-1,0.542
17,0.935,1,0.73
17,0.807,1,0.364
17,0.919,1,0.485
17,0.874,1,0.238
17,0.818,1,0.67
17,0.494,1,0.714
17,0.724,1,0.368
17,0.771,1,0.603
17,0.765,1,0.469
17,0.792,1,0.403
17,0.757,1,0.38
17,0.639,1,0.654
17,0.565,1,0.448
17,0.523,1,0.768
17,0.649,1,0.777
17,0.543,1,0.703
17,0.571,1,0.286
17,0.524,1,0.424
17,0.458,1,0.613
17,0.498,1,0.728
17,0.563,1,0.353
17,0.614,1,0.429
17,0.579,1,0.228
17,0.553,1,0.3
17,0.587,1,0.267
17,0.706,1,0.264
17,0.846,-1,0.229
17,0.651,-1,0.316
17,0.622,-1,0.47
17,0.743,-1,0.601
17,0.478,-1,0.56
17,0.975,-1,0.258
17,0.697,-1,0.417
17,0.701,-1,0.698
17,0.521,-1,0.331
17,0.366,-1,0.442
17,0.631,-1,0.4
17,0.721,-1,0.326
17,0.706,-1,0.278
17,0.659,-1,0.641
17,0.63,-1,0.334
17,0.59,-1,0.676
17,0.719,-1,0.296
17,0.878,-1,0.219
17,0.655,-1,0.466
17,0.579,-1,0.607
17,0.504,-1,0.241
17,0.45,-1,0.352
17,0.659,-1,0.652
17,0.539,-1,0.719
17,0.52,-1,0.212
17,0.484,-1,0.212
17,0.551,-1,0.37
17,0.622,-1,0.349
18,0.697,1,0.604
18,0.71,1,0.675
18,0.86,1,0.653
18,0.623,1,0.587
18,0.587,1,0.589
18,0.587,1,0.33
18,0.586,1,0.232
18,0.725,1,0.336
18,0.607,1,0.566
18,0.616,1,0.793
18,0.846,1,0.536
18,0.706,1,0.605
18,0.761,1,0.469
18,0.735,1,0.43
18,0.684,1,0.783
18,0.637,1,0.581
18,0.675,1,0.786
18,0.607,1,0.57
18,0.642,1,0.336
18,0.658,1,0.339
18,0.668,1,0.378
18,0.674,1,0.276
18,0.613,1,0.268
18,0.657,1,0.696
18,0.68,1,0.257
18,0.59,1,0.666
18,0.522,1,0.428
18,0.743,1,0.761
18,0.664,-1,0.539
18,0.759,-1,0.58
18,0.6,-1,0.532
18,0.71,-1,0.471
18,0.689,-1,0.795
18,0.634,-1,0.278
18,0.78,-1,0.426
18,0.939,-1,0.78
18,0.722,-1,0.621
18,0.761,-1,0.56
18,0.981,-1,0.642
18,0.768,-1,0.249
18,0.624,-1,0.493
18,0.979,-1,0.624
18,0.717,-1,0.403
18,0.626,-1,0.252
18,0.799,-1,0.35
18,0.746,-1,0.607
18,0.728,-1,0.677
18,0.73,-1,0.267
18,0.684,-1,0.306
18,0.78,-1,0.422
18,0.605,-1,0.209
18,0.634,-1,0.363
18,0.586,-1,0.471
18,0.653,-1,0.59
18,0.563,-1,0.322
18,0.729,-1,0.338
18,0.681,-1,0.335
19,0.615,1,0.375
19,0.573,1,0.268
19,0.569,1,0.357
19,0.487,1,0.565
19,0.477,1,0.296
19,0.531,1,0.663
19,0.468,1,0.351
19,0.542,1,0.447
19,0.496,1,0.413
19,0.549,1,0.397
19,0.539,1,0.618
19,0.547,1,0.798
19,0.471,1,0.508
19,0.499,1,0.686
19,0.496,1,0.336
19,0.531,1,0.294
19,0.454,1,0.622
19,0.458,1,0.3
19,0.468,1,0.618
19,0.452,1,0.314
19,0.412,1,0.211
19,0.435,1,0.54
19,0.431,1,0.281
19,0.57,1,0.671
19,0.587,1,0.643
19,0.448,1,0.601
19,0.611,1,0.799
19,0.523,1,0.422
19,0.755,-1,0.201
19,0.707,-1,0.734
19,0.517,-1,0.49
19,0.62,-1,0.248
19,0.712,-1,0.794
19,0.684,-1,0.791
19,0.572,-1,0.579
19,0.38,-1,0.738
19,0.414,-1,0.785
19,0.47,-1,0.603
19,0.463,-1,0.266
19,0.499,-1,0.647
19,0.583,-1,0.354
19,0.595,-1,0.494
19,0.396,-1,0.415
19,0.512,-1,0.779
19,0.369,-1,0.717
19,0.512,-1,0.469
19,0.474,-1,0.235
19,0.464,-1,0.457
19,0.509,-1,0.566
19,0.447,-1,0.639
19,0.516,-1,0.502
19,0.403,-1,0.586
19,0.678,-1,0.286
19,0.453,-1,0.392
19,0.703,-1,0.73
20,0.572,1,0.42
20,0.558,1,0.729
20,0.606,1,0.726
20,0.784,1,0.511
20,0.465,1,0.431
20,0.466,1,0.2
20,0.553,1,0.372
20,0.475,1,0.245
20,0.549,1,0.638
20,0.557,1,0.601
20,0.587,1,0.77
20,0.472,1,0.574
20,0.447,1,0.24
20,0.707,1,0.593
20,0.664,-1,0.526
20,0.531,-1,0.227
20,0.456,-1,0.206
20,0.537,-1,0.4
20,0.625,-1,0.507
20,0.674,-1,0.426
20,0.65,-1,0.678
20,0.629,-1,0.382
20,0.587,-1,0.581
20,0.539,-1,0.297
20,0.497,-1,0.228
20,0.545,-1,0.367
20,0.565,-1,0.448
20,0.703,-1,0.499
20,0.579,-1,0.402
20,0.494,-1,0.558
21,0.563,1,0.58
21,0.441,1,0.544
21,0.528,1,0.52
21,0.595,1,0.498
21,0.51,1,0.2
21,0.504,1,0.51
21,0.495,1,0.783
21,0.648,1,0.523
21,0.542,1,0.435
21,0.51,1,0.309
21,0.505,1,0.67
21,0.449,1,0.54
21,0.518,1,0.574
21,0.6,1,0.298
21,0.713,1,0.638
21,0.564,1,0.336
21,0.527,1,0.563
21,0.532,1,0.26
21,0.565,1,0.467
21,0.492,1,0.359
21,0.499,1,0.251
21,0.527,1,0.497
21,0.541,1,0.721
21,0.529,1,0.42
21,0.506,1,0.38
21,0.537,1,0.529
21,0.495,1,0.572
21,0.562,1,0.323
21,0.528,-1,0.741
21,0.541,-1,0.567
21,0.463,-1,0.583
21,0.622,-1,0.606
21,0.589,-1,0.712
21,0.492,-1,0.753
21,0.481,-1,0.522
21,0.574,-1,0.668
21,0.466,-1,0.53
21,0.492,-1,0.768
21,0.479,-1,0.753
21,0.621,-1,0.692
